id,community_names,region,price,total_price,house_types,area,orientation,decoration,floor_levels,build_time,building_types
192,清逸西园 ,旧宫,"28,309元/平",218,3室1厅,77.01平米,东 南 北,简装,顶层(共6层) ,,板楼
193,景泰西里西区 ,永定门,"65,452元/平",370,1室1厅,56.53平米,南,简装,11层,2005年,板塔结合
194,智地香蜜湾 ,后沙峪,"38,406元/平",369,2室1厅,96.08平米,东南,精装,高楼层(共11层),2010年,板塔结合
195,恒盛波尔多小镇南区 ,大兴新机场洋房别墅区,"16,711元/平",255,3室2厅,152.6平米,南 北,简装,5层 ,,板楼
196,方恒东景 ,临河里,"32,984元/平",239,2室1厅,72.46平米,南,简装,低楼层(共29层),2012年,板楼
197,冯村信园小区 ,冯村,"28,735元/平",207,2室1厅,72.04平米,南 北,精装,低楼层(共6层) ,,板楼
198,林萃路10号院 ,奥林匹克公园,"47,850元/平",435,3室1厅,90.91平米,南 北,毛坯,高楼层(共7层),2004年,板楼
199,车站西街15号院 ,广安门,"84,230元/平",478,2室1厅,56.75平米,南 北,简装,低楼层(共6层) ,,板楼
200,福润四季A区 ,东坝,"35,507元/平",263,2室1厅,74.07平米,南 北,精装,底层(共21层),2014年,板楼
201,浅山香邑 ,顺义其它,"12,222元/平",100,2室2厅,81.82平米,南 北,简装,高楼层(共9层),2014年,塔楼
202,云景西里南区 ,梨园,"27,477元/平",218,3室2厅,79.34平米,南 北,精装,顶层(共6层) ,,板楼
203,国际花园2号院 ,长阳,"30,089元/平",230,2室1厅,76.44平米,南 北,精装,高楼层(共18层),2014年,板楼
204,天宁寺东里 ,天宁寺,"84,557元/平",455,2室1厅,53.81平米,南 北,简装,中楼层(共5层) ,,板楼
205,兴华园 ,枣园,"31,939元/平",235,2室1厅,73.58平米,南 北,简装,中楼层(共6层) ,,板楼
206,瑞和国际 ,定福庄,"44,560元/平",430,2室1厅,96.5平米,东南 北,简装,中楼层(共22层) ,,塔楼
207,天堂河南区 ,天宫院,"20,733元/平",120,2室1厅,57.88平米,南 北,简装,中楼层(共4层) ,,板楼
208,北京壹号庄园 ,北七家,"54,013元/平",780,3室2厅,144.41平米,南 北 西,精装,低楼层(共6层) ,,板楼
209,远洋自然 ,大红门,"57,983元/平",588,2室1厅,101.41平米,南,简装,高楼层(共18层),2007年,板塔结合
210,真武庙三里 ,木樨地,"108,368元/平",790,3室1厅,72.9平米,东 南,简装,高楼层(共6层),1979年,板楼
211,育慧里二区 ,亚运村小营,"63,766元/平",510,3室1厅,79.98平米,西南 北,精装,低楼层(共18层),1997年,塔楼
212,龙湖香醍溪岸北区 ,马坡,"24,876元/平",299,3室1厅,120.2平米,南 北,精装,顶层(共8层),2011年,板楼
213,农光南里 ,劲松,"46,292元/平",269,2室1厅,58.11平米,西 北,简装,高楼层(共17层),1989年,塔楼
214,旧宫新苑北区 ,旧宫,"37,418元/平",328,2室1厅,87.66平米,南 北,简装,低楼层(共15层),2012年,板楼
215,北人家园 ,万达,"35,483元/平",290,2室1厅,81.73平米,南,简装,低楼层(共27层),2018年,塔楼
216,十里春风 ,通州其它,"12,914元/平",118,3室1厅,91.38平米,南 北,其他,中楼层(共17层),2020年,板楼
217,御景春天A区 ,科技园区,"37,759元/平",186,1室1厅,49.26平米,西,简装,高楼层(共25层),2011年,板楼
218,牛街东里 ,牛街,"82,130元/平",449,1室1厅,54.67平米,南,简装,中楼层(共20层) ,,塔楼
219,洋桥北里 ,洋桥,"48,714元/平",265,2室1厅,54.4平米,南 北,简装,中楼层(共6层) ,,板楼
220,宏城花园 ,顺义城,"29,000元/平",356,3室1厅,122.76平米,南 北,简装,中楼层(共6层) ,,板楼
221,壹线国际 ,四惠,"49,315元/平",565,2室1厅,114.57平米,南 北,精装,中楼层(共9层),2006年,板塔结合
222,嘉园一里 ,马家堡,"44,141元/平",255,2室1厅,57.77平米,东南,简装,高楼层(共18层),1998年,塔楼
223,大井胡同 ,六铺炕,"127,467元/平",659,2室1厅,51.7平米,南 北,精装,顶层(共6层),1989年,板楼
224,马坡花园一区 ,马坡,"20,269元/平",260,3室2厅,128.28平米,南 北,简装,高楼层(共6层),1998年,板楼
